code_type,code,lat,lon
IATA,ASA,13.071800231933594,42.64500045776367
IATA,ASB,37.986801,58.361
IATA,ASD,24.697900772094727,-77.79560089111328
IATA,ASE,39.22320175,-106.8690033
IATA,ASF,46.2832984924,48.0063018799
IATA,ASH,42.7817001343,-71.51480102539999
IATA,ASI,-7.9696,-14.3937
IATA,ASJ,28.430599212646484,129.71299743652344
IATA,ASK,6.9031701088,-5.36558008194
IATA,ASM,15.291899681091309,38.910701751708984
IATA,ASN,33.569900512699995,-86.05090332030001
IATA,ASO,10.018500328063965,34.586299896240234
IATA,ASP,-23.806699752807617,133.90199279785156
IATA,ASR,38.770401001,35.4953994751
IATA,ASS,-24.744165,31.522499
IATA,AST,46.158000946,-123.878997803
IATA,ASU,-25.239999771118164,-57.52000045776367
IATA,ASV,-2.645050048828125,37.25310134887695
IATA,ASW,23.9643993378,32.8199996948
IATA,ATA,-9.347439765930176,-77.59839630126953
IATA,ATB,17.710344314575195,34.0570182800293
IATA,ATC,24.6294,-75.673797
IATA,ATD,-8.87333,161.011002
IATA,ATF,-1.2120699882507324,-78.57460021972656
IATA,ATG,33.8690986633,72.4009017944
IATA,ATH,37.9364013672,23.9444999695
IATA,ATI,-30.400699615478516,-56.50790023803711
IATA,ATJ,-19.8392214824,47.063713073699994
IATA,ATK,70.46730041503906,-157.43600463867188
IATA,ATL,33.6367,-84.428101
IATA,ATM,-3.2539100646973,-52.254001617432
IATA,ATO,39.2109985352,-82.23139953610001
IATA,ATQ,31.7096004486,74.7973022461
IATA,ATR,20.506799697875977,-13.04319953918457
IATA,ATW,44.258098602299995,-88.5190963745
IATA,ATY,44.91400146,-97.15470123
IATA,ATZ,27.0464992523,31.0119991302
IATA,AUA,12.5014,-70.015198
IATA,AUC,7.06888,-70.7369
IATA,AUF,47.85020065307617,3.497109889984131
IATA,AUG,44.320598602299995,-69.7973022461
IATA,AUH,24.433000564575195,54.651100158691406
IATA,AUK,62.680042266799994,-164.659927368
IATA,AUO,32.615101,-85.433998
IATA,AUQ,-9.76879024506,-139.011001587
IATA,AUR,44.89139938354492,2.4219400882720947
IATA,AUS,30.194499969482422,-97.6698989868164
IATA,AUU,-13.354067,141.72065
IATA,AUW,44.9262008667,-89.6266021729
IATA,AUX,-7.22787,-48.240501
IATA,AUY,-20.2492008209,169.770996094
IATA,AVA,26.2605555556,105.873333333
IATA,AVB,46.031898,12.596503
IATA,AVI,22.027099609375,-78.78959655761719
IATA,AVK,46.250301361083984,102.802001953125
IATA,AVL,35.43619918823242,-82.54180145263672
IATA,AVN,43.90729904174805,4.901830196380615
IATA,AVO,27.59119987,-81.52780151
IATA,AVP,41.338500976599995,-75.72339630130001
IATA,AVR,38.883301,-9.0301
IATA,AVV,-38.039398,144.468994
IATA,AVW,32.4095993042,-111.218002319
IATA,AVX,33.4049,-118.416
IATA,AWA,7.066999912261963,38.5
IATA,AWD,-19.2346,169.6009
IATA,AWK,19.282100677490234,166.63600158691406
IATA,AWZ,31.337400436399996,48.7620010376
IATA,AXA,18.2048,-63.055099
IATA,AXD,40.855899810791016,25.956300735473633
IATA,AXF,38.74831,105.58858
IATA,AXJ,32.482498,130.158997
IATA,AXK,14.551300048828125,46.82619857788086
IATA,AXM,4.45278,-75.7664
IATA,AXN,45.8662986755,-95.39469909670001
IATA,AXP,22.441799163800003,-73.97090148930002
IATA,AXR,-15.248299598693848,-146.61700439453125
IATA,AXT,39.6156005859375,140.218994140625
IATA,AXU,14.14680004119873,38.77280044555664
IATA,AYK,50.318599700927734,66.95279693603516
IATA,AYO,-27.370554,-56.854064
IATA,AYP,-13.154800415039062,-74.20439910888672
IATA,AYQ,-25.1861,130.975998
IATA,AYS,31.2490997314,-82.39550018310001
IATA,AYT,36.898701,30.800501
IATA,AYW,-1.1593,132.4633
IATA,AZA,33.30780029,-111.6549988
IATA,AZD,31.9048995972,54.2765007019
IATA,AZI,24.428300857543945,54.458099365234375
IATA,AZN,40.7276992798,72.2939987183
IATA,AZO,42.234901428222656,-85.5521011352539
IATA,AZR,27.837600708007812,-0.18641400337219238
IATA,AZS,19.2670001984,-69.7419967651
IATA,BAB,39.136100769,-121.43699646
IATA,BAD,32.5018005371,-93.6626968384
IATA,BAF,42.157799,-72.715599
IATA,BAG,16.375099182128906,120.62000274658203
IATA,BAH,26.27079963684082,50.63359832763672
IATA,BAI,9.163949,-83.330171
IATA,BAL,37.929000854499996,41.1166000366
IATA,BAQ,10.8896,-74.7808
IATA,BAR,19.13824,110.454775
IATA,BAS,-6.990745,155.886656
IATA,BAT,-20.584499359131,-48.594100952148
IATA,BAU,-22.3449993134,-49.0537986755
IATA,BAV,40.560001373291016,109.99700164794922
IATA,BAX,53.363800048828125,83.53849792480469
IATA,BAY,47.65840148925781,23.469999313354492
IATA,BAZ,-0.981292,-62.919601
IATA,BBA,-45.916099548339844,-71.68949890136719
IATA,BBC,28.9733009338,-95.8635025024
IATA,BBD,31.1793003082,-99.3238983154
IATA,BBG,3.08583,172.811005
IATA,BBH,54.338253,12.710515
IATA,BBI,20.244400024399997,85.8178024292
IATA,BBJ,49.945278,6.565
IATA,BBK,-17.83289909362793,25.162399291992188
IATA,BBL,-27.405633,141.809458
IATA,BBM,13.095600128173828,103.2239990234375
IATA,BBN,3.7338900566101074,115.47899627685547
IATA,BBO,10.389200210571289,44.94110107421875
IATA,BBP,50.6781005859,-1.10943996906
IATA,BBQ,17.635799,-61.828602
IATA,BBR,16.0132999420166,-61.7421989440918
IATA,BBS,51.32389831542969,-0.8475000262260437
IATA,BBT,4.2215800285339355,15.786399841308594
IATA,BBU,44.50320053100586,26.102100372314453
IATA,BBX,40.1375007629,-75.2650985718
IATA,BCA,20.365299224853516,-74.5062026977539
IATA,BCD,10.7764,123.014999
IATA,BCE,37.706401825,-112.144996643
IATA,BCH,-8.489029884339999,126.401000977
IATA,BCI,-23.5652999878,145.307006836
IATA,BCL,10.768699645996094,-83.58560180664062
IATA,BCM,46.52190017700195,26.91029930114746
IATA,BCN,41.2971,2.07846
IATA,BCO,5.78287,36.562
IATA,BCT,26.3784999847,-80.1076965332
IATA,BCU,10.482833,9.744
IATA,BDA,32.36399841308594,-64.67870330810547
IATA,BDB,-24.903900146499996,152.319000244
IATA,BDD,-10.149999618499999,142.1734
IATA,BDE,48.7284011841,-94.612197876
IATA,BDH,26.531999588,54.824798584
IATA,BDI,-3.72472,55.205299
IATA,BDJ,-3.4423599243164062,114.76300048828125
IATA,BDL,41.9388999939,-72.68319702149999
IATA,BDM,40.31800079345703,27.977699279785156
IATA,BDN,24.84149932861328,68.8384017944336
IATA,BDO,-6.900629997253418,107.57599639892578
IATA,BDP,26.5708007812,88.07959747310001
IATA,BDQ,22.336201,73.226303
IATA,BDR,41.16350173950195,-73.1261978149414
IATA,BDS,40.6576,17.947001
IATA,BDT,4.253210067749023,20.975299835205078
IATA,BDU,69.055801391602,18.540399551392
